rank,slug,title,category,priority,governance_state,verification_score_percent,priority_score,score_before_priority_floor,priority_floor_applied,queue_band,queue_label,risk_points,search_demand_tier,search_demand_points,search_demand_source,search_demand_source_field,temporary_proxy_match,escalation_frequency_tier,escalation_frequency_points,escalation_frequency_source,business_criticality_tier,business_criticality_points,business_criticality_source,evidence_readiness_points,promotion_ready,missing_requirements
215,resolve-an-apipa-address,Resolve an APIPA address,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
216,trace-an-active-directory-account-lockout-source,Trace an Active Directory account lockout source,Servers & Core Infrastructure,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,active directory,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
217,triage-a-home-network-remote-work-issue,Triage a home-network remote-work issue,"Remote Access, VDI & DaaS",P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
218,triage-a-switch-port-issue,Triage a switch-port issue,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
219,triage-a-vlan-assignment-issue,Triage a VLAN assignment issue,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
220,troubleshoot-a-network-printer-that-is-unreachable,Troubleshoot a network printer that is unreachable,Printing & Scanning,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
221,troubleshoot-a-network-share-access-failure,Troubleshoot a network share access failure,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
222,troubleshoot-a-teams-phone-device,Troubleshoot a Teams Phone device,"Voice, Telephony & Meeting Rooms",P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
223,troubleshoot-a-web-filter-block,Troubleshoot a web-filter block,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
224,troubleshoot-a-zero-trust-network-client,Troubleshoot a zero-trust network client,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
225,troubleshoot-active-directory-replication,Troubleshoot Active Directory replication,Servers & Core Infrastructure,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,active directory,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
226,troubleshoot-cloud-application-authentication,Troubleshoot cloud application authentication,Cloud & Virtualisation,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,authentication,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
227,troubleshoot-corporate-wi-fi-on-mobile,Troubleshoot corporate Wi-Fi on mobile,Mobile Devices & MDM,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,wi-fi,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
228,troubleshoot-git-authentication,Troubleshoot Git authentication,Linux & Developer Workstations,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,authentication,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
229,troubleshoot-intermittent-network-connectivity,Troubleshoot intermittent network connectivity,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
230,troubleshoot-linux-dns-resolution,Troubleshoot Linux DNS resolution,Linux & Developer Workstations,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,dns,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
231,troubleshoot-macos-wi-fi,Troubleshoot macOS Wi-Fi,macOS Endpoints,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,wi-fi,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
232,troubleshoot-microsoft-teams-sign-in,Troubleshoot Microsoft Teams sign-in,Microsoft 365 & Collaboration,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
233,troubleshoot-mobile-outlook-synchronisation,Troubleshoot mobile Outlook synchronisation,Mobile Devices & MDM,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
234,troubleshoot-network-latency,Troubleshoot network latency,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
235,troubleshoot-no-ethernet-connectivity,Troubleshoot no Ethernet connectivity,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
236,troubleshoot-no-wi-fi-connectivity,Troubleshoot no Wi-Fi connectivity,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,wi-fi,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
237,troubleshoot-outlook-send-and-receive,Troubleshoot Outlook send and receive,Microsoft 365 & Collaboration,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
238,troubleshoot-outlook-that-will-not-open,Troubleshoot Outlook that will not open,Microsoft 365 & Collaboration,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
239,troubleshoot-packet-loss,Troubleshoot packet loss,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
240,troubleshoot-proxy-configuration,Troubleshoot proxy configuration,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
241,troubleshoot-recurring-outlook-credential-prompts,Troubleshoot recurring Outlook credential prompts,Microsoft 365 & Collaboration,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
242,troubleshoot-teams-camera,Troubleshoot Teams camera,Microsoft 365 & Collaboration,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
243,troubleshoot-teams-meeting-join-failure,Troubleshoot Teams meeting join failure,Microsoft 365 & Collaboration,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
244,troubleshoot-teams-screen-sharing,Troubleshoot Teams screen sharing,Microsoft 365 & Collaboration,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
245,troubleshoot-wireless-roaming,Troubleshoot wireless roaming,Network & Connectivity,P2,under_review,24,42,42,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
246,teams-microphone-not-working,Resolve a Teams microphone not working,Microsoft 365 & Collaboration,P2,revalidation_required,18,40,40,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,0,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|tested_platforms|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
247,general-workstation-triage,Resolve a vague or multi-component workstation issue,Windows Endpoints,P2,revalidation_required,18,40,40,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,0,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|tested_platforms|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
248,no-network-docking-station,Resolve no network on a docking station,Network & Connectivity,P2,revalidation_required,18,40,40,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,0,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|tested_platforms|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
249,outlook-crashes,Resolve Outlook crashes or failure to open,Microsoft 365 & Collaboration,P2,revalidation_required,18,40,40,false,planned,Planned,20,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,0,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|tested_platforms|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
250,clear-and-rebuild-the-teams-cache,Clear and rebuild the Teams cache,Microsoft 365 & Collaboration,P3,under_review,24,32,32,false,planned,Planned,10,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_technical_reviewers|minimum_test_records|minimum_distinct_environments"
251,recover-an-outlook-pst-file,Recover an Outlook PST file,"Data Protection, Backup & Recovery",P3,under_review,24,32,32,false,planned,Planned,10,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_technical_reviewers|minimum_test_records|minimum_distinct_environments"
252,repair-a-corrupted-outlook-data-cache,Repair a corrupted Outlook data cache,Microsoft 365 & Collaboration,P3,under_review,24,32,32,false,planned,Planned,10,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_technical_reviewers|minimum_test_records|minimum_distinct_environments"
253,repair-an-outlook-profile,Repair an Outlook profile,Microsoft 365 & Collaboration,P3,under_review,24,32,32,false,planned,Planned,10,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_technical_reviewers|minimum_test_records|minimum_distinct_environments"
254,resolve-a-paper-jam-safely,Resolve a paper jam safely,Printing & Scanning,P2,under_review,24,32,32,false,planned,Planned,20,medium,10,temporary_topic_proxy,metadata_only,printing,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
255,troubleshoot-outlook-add-ins,Troubleshoot Outlook add-ins,Microsoft 365 & Collaboration,P3,under_review,24,32,32,false,planned,Planned,10,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_technical_reviewers|minimum_test_records|minimum_distinct_environments"
256,troubleshoot-outlook-search,Troubleshoot Outlook search,Microsoft 365 & Collaboration,P3,under_review,24,32,32,false,planned,Planned,10,high,20,temporary_topic_proxy,metadata_only,outlook,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_technical_reviewers|minimum_test_records|minimum_distinct_environments"
257,troubleshoot-poor-print-quality,Troubleshoot poor print quality,Printing & Scanning,P2,under_review,24,32,32,false,planned,Planned,20,medium,10,temporary_topic_proxy,metadata_only,printing,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
258,troubleshoot-teams-presence,Troubleshoot Teams presence,Microsoft 365 & Collaboration,P3,under_review,24,32,32,false,planned,Planned,10,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_technical_reviewers|minimum_test_records|minimum_distinct_environments"
259,troubleshoot-universal-print,Troubleshoot Universal Print,Printing & Scanning,P2,under_review,24,32,32,false,planned,Planned,20,medium,10,temporary_topic_proxy,metadata_only,printing,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
260,apply-an-approved-standard-configuration,Apply an approved standard configuration,Lifecycle & Asset Management,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
261,assess-accidental-or-liquid-damage,Assess accidental or liquid damage,Hardware & Peripherals,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
262,assess-business-impact-and-urgency,Assess business impact and urgency,Service Desk & ITSM,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
263,assess-storage-drive-health,Assess storage drive health,Windows Endpoints,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
264,assign-or-remove-a-microsoft-365-licence,Assign or remove a Microsoft 365 licence,Identity & Access Management,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
265,audit-assigned-equipment,Audit assigned equipment,Lifecycle & Asset Management,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
266,check-domain-controller-health,Check domain controller health,Servers & Core Infrastructure,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
267,classify-incident-category-and-priority,Classify incident category and priority,Service Desk & ITSM,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
268,clear-browser-cache-and-cookies-safely,Clear browser cache and cookies safely,Business Applications & Browsers,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
269,collect-a-windows-crash-dump,Collect a Windows crash dump,Windows Endpoints,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
270,collect-business-application-logs,Collect business-application logs,Business Applications & Browsers,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
271,collect-cloud-resource-diagnostics,Collect cloud resource diagnostics,Cloud & Virtualisation,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
272,collect-linux-logs-for-escalation,Collect Linux logs for escalation,Linux & Developer Workstations,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
273,collect-macos-diagnostic-logs,Collect macOS diagnostic logs,macOS Endpoints,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
274,collect-returned-equipment,Collect returned equipment,Lifecycle & Asset Management,P2,under_review,24,30,22,true,planned,Planned,20,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
